,uniqueid,year,treat,returnyear,groupid,doctoral_graduation_year,post,treat_post,gender,cohort,discipline,bachelor_university,doctoral_university,region_bf_rcrt,doc_region,num_of_pub,q12_num,q1_num,top10_num,fa_pub,fa_q12pub,fa_q1pub,fa_top10pub,la_pub,la_q12pub,la_q1pub,la_top10pub,teamsize,teamsize_nlg,grant,grant_nlg,pi,alumni,recruit_institution,recruit_type,phd_overall_rank,phd_field_rank,bc_overall_rank,recruit_position,top10_productivity,year_index,counterfactual_num_of_pub,counterfactual_top10_num,counterfactual_fa_pub,counterfactual_fa_q1pub,counterfactual_la_pub,counterfactual_la_q1pub
38,1_4,2010,1,2012,4,2008,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,USA,USA,2.0,2,2,0.0,0.0,0,0.0,0,2.0,2,2.0,0,1,0,0.0,0.0,0.0,1,Peking University,T2,113,26,5.0,Professor,0.0,-2,0.43089509536907755,0.28802464323295235,0.7866038343487799,0.6485524531309088,0.931688319226746,0.9601220753791858
39,1_4,2013,1,2012,4,2008,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,USA,USA,3.0,3,2,1.0,2.0,2,2.0,1,3.0,3,2.0,1,0,1,0.0,363900.94,0.0,1,Peking University,T2,113,26,5.0,Professor,0.0,1,1.4523689026704685,0.8696809528031568,0.5965917466810198,0.49573630276560005,1.530156213314389,1.4411292600051455
40,1_4,2011,1,2012,4,2008,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,USA,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,1,Peking University,T2,113,26,5.0,Professor,0.0,-1,0.775804513123405,0.6218808264800855,0.7757016318013137,0.6577765863111878,1.0559609936152403,1.0460952801453476
41,1_4,2018,1,2012,4,2008,1,1,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,USA,USA,1.0,1,1,0.0,0.0,0,0.0,0,1.0,1,1.0,0,0,0,163947.34,160006.31,0.0,1,Peking University,T2,113,26,5.0,Professor,0.0,6,3.0432353241447743,1.6337646237512877,0.3300126472911837,0.2244608129220447,2.616552314102611,2.2032297320087806
42,1_4,2009,1,2012,4,2008,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,USA,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,1,Peking University,T2,113,26,5.0,Professor,0.0,-3,0.1797512880531027,0.19978948660202112,0.846842270280638,0.6924426093003098,0.7504524350046891,0.8454401719227697
43,1_4,2016,1,2012,4,2008,1,1,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,USA,USA,3.0,3,3,2.0,1.0,1,1.0,0,3.0,3,3.0,2,0,0,334252.44,173811.31,0.0,1,Peking University,T2,113,26,5.0,Professor,0.0,4,2.1623995514443974,1.26581469649857,0.3450939159639354,0.26428126415608877,2.1831474717220667,1.9674589356682683
44,1_4,2012,1,2012,4,2008,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,USA,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,1,Peking University,T2,113,26,5.0,Professor,0.0,0,1.1263439073992063,0.7530399209016742,0.7367786359693465,0.5934359380449727,1.2096804822944114,1.1681891561687352
45,1_4,2017,1,2012,4,2008,1,1,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,USA,USA,4.0,3,3,2.0,1.0,0,0.0,0,4.0,3,3.0,2,0,0,468451.16,177660.94,0.0,1,Peking University,T2,113,26,5.0,Professor,0.0,5,2.5495656744659234,1.1894186908377866,0.25752465324472706,0.19089340243535044,2.4184006542404237,2.07835178764519
46,1_4,2014,1,2012,4,2008,1,1,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,USA,USA,2.0,2,2,2.0,0.0,0,0.0,0,2.0,2,2.0,2,1,0,0.0,354704.19,0.0,1,Peking University,T2,113,26,5.0,Professor,0.0,2,1.1808851450418336,0.6966399939951473,0.4579610175052235,0.39885663645711156,1.3805451041979775,1.2360413064562383
47,1_4,2015,1,2012,4,2008,1,1,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,USA,USA,4.0,4,4,3.0,1.0,1,1.0,0,4.0,4,4.0,3,0,0,344441.5,161887.55,0.0,1,Peking University,T2,113,26,5.0,Professor,0.0,3,1.605874002184077,0.8641403516640509,0.3636302690631305,0.3015361611059417,1.8120761088265576,1.6463163080881555
