uniqueID,reject,Recruit_year,Cohort,Discipline,top100,PI,avg_pub,avg_FA_pub,avg_FA_top10pub,avg_LA_pub,avg_LA_top10pub,grant_nlg
1_180,0,2012,2,PHYSICS AND MATHEMATICS,1,0,3.75,1.25,0.5,0,0,0
1_181,0,2012,2,PHYSICS AND MATHEMATICS,1,0,0.8,0.6,0.6,0,0,30000
1_183,0,2012,2,CHEMISTRY,1,1,1.6666666666666667,0.3333333333333333,0.3333333333333333,0,0,0
1_184,0,2012,2,CHEMISTRY,0,0,1.4,1.2,1.2,0,0,0
1_186,0,2012,2,CHEMISTRY,0,0,2.8,0.6,0.4,0,0,0
1_187,0,2012,2,CHEMISTRY,0,1,2.8,1,0.6,0,0,0
1_188,1,2012,2,CHEMISTRY,1,1,5,2.5,1.5,0,0,153635.88888888888
1_189,0,2012,2,CHEMISTRY,0,1,5.2,0.4,0.2,3.2,0,13000
1_19,0,2011,1,PHYSICS AND MATHEMATICS,1,1,1.4,0.6,0.2,0,0,14111.111111111113
1_190,0,2012,2,CHEMISTRY,0,1,1.6,0.6,0.6,0,0,0
1_191,0,2012,2,CHEMISTRY,1,1,3.6666666666666665,0.3333333333333333,0.3333333333333333,0,0,0
1_192,0,2012,2,CHEMISTRY,0,1,5.4,1.4,0.6,0,0,3.3333333333333335
1_193,0,2012,2,CHEMISTRY,1,1,2,1.5,1,0,0,0
1_194,0,2012,2,CHEMISTRY,1,0,2.25,1,1,0,0,0
1_197,1,2012,2,CHEMISTRY,NA,1,3.8,0.8,0.6,1.2,1,0
1_199,1,2012,2,CHEMISTRY,1,1,2,0.6,0.4,1.2,0.2,0
1_2,0,2011,1,PHYSICS AND MATHEMATICS,1,0,0,0,0,0,0,0
1_20,0,2011,1,PHYSICS AND MATHEMATICS,0,0,1.4,0.2,0.2,0.4,0,0
1_200,0,2012,2,CHEMISTRY,1,0,2.2,1.2,0.8,0,0,10.5
1_202,0,2012,2,CHEMISTRY,0,1,0,0,0,0,0,0
1_203,0,2012,2,CHEMISTRY,1,1,2.2,1,0.6,0,0,0
1_204,0,2012,2,CHEMISTRY,0,0,3.25,1.25,0.75,0,0,0
1_207,0,2012,2,CHEMISTRY,0,0,19,8,3,0,0,0
1_21,0,2011,1,PHYSICS AND MATHEMATICS,0,0,2,1,0.4,0,0,0
1_210,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,1.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,0
1_211,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,1,0.8,0.6,0,0.6,0,87064.8
1_212,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,3.25,1.25,0.75,0,0,0
1_213,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,1,1,0.5,0,0,0
1_214,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,4.25,2.25,1,0,0,107019.8125
1_215,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,1,0.8,0.8,0.4,0,0,0
1_216,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,4.8,1.6,1.2,1.8,0.4,0
1_217,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,0,1.75,0.75,0,0,0,0
1_218,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,2.8,0.6,0.2,0.6,0,0
1_220,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,0.75,0.25,0.25,0,0,0
1_221,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,0,0,0,0,0,0
1_222,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,0.6,0.4,0,0,0,0
1_223,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,3,2,1.6666666666666667,0,0,0
1_224,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,3.6666666666666665,2.6666666666666665,1.6666666666666667,0,0,0
1_225,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,1.5,1.25,1.25,0,0,0
1_226,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,1.6,1.6,1.4,0,0,0
1_228,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,0,1.6,0.8,0.6,0.2,0,0
1_230,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,2.6,1.6,1,0,0,0
1_231,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,1.4,1,0,0.2,0,0
1_233,0,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,1,0,1.5,1.5,0.75,0,0,0
1_234,1,2012,2,ENVIRONMENTAL AND EARTH SCIENCE,0,1,4,2,1.25,0.25,0.25,0
1_236,1,2012,2,INFORMATION SCIENCE,1,1,2.4,1.8,0.8,0.4,0.4,0
1_237,1,2012,2,INFORMATION SCIENCE,0,1,1.6,0.6,0,0.2,0.2,0
1_238,0,2012,2,INFORMATION SCIENCE,1,0,4,1.8,0.2,0.4,0,0
